Année,Nucléaire %,Gaz %,Charbon %,Fioul %,Éolien %,Solaire %,Hydro %,Biomasse/Déchets %,CO2 (MtCO2e),Température moyenne (°C)
1990,70,7,6.0,2.0,0.0,0.0,15.0,1.0,546,11.8
1991,71,7,6.0,2.0,0.0,0.0,14.5,1.0,545,11.7
1992,72,7,6.0,2.0,0.0,0.0,14.0,1.0,544,11.9
1993,73,8,5.0,2.0,0.0,0.0,13.5,1.0,543,11.8
1994,73,8,5.0,2.0,0.0,0.0,13.5,1.0,540,12.0
1995,74,8,5.0,2.0,0.1,0.0,13.0,1.0,537,12.1
1996,75,9,4.0,1.8,0.2,0.0,13.0,1.1,530,11.9
1997,75,9,4.0,1.6,0.4,0.1,12.5,1.2,523,12.3
1998,76,9,3.0,1.5,0.6,0.1,12.0,1.3,510,12.2
1999,76,9,3.0,1.3,0.8,0.1,12.0,1.4,505,12.4
2000,77,8,2.5,1.2,1.0,0.2,11.5,1.5,500,12.5
2001,77,8,2.5,1.1,1.5,0.3,11.5,1.6,495,12.6
2002,78,7,2.0,1.0,2.0,0.4,11.0,1.8,490,12.4
2003,78,7,2.0,0.9,2.3,0.5,11.0,1.9,480,12.7
2004,77,7,1.5,0.9,2.5,0.6,11.0,2.0,470,12.8
2005,76,7,1.5,0.8,3.0,0.8,11.0,2.0,460,12.9
2006,75,8,1.0,0.7,3.5,1.0,11.0,2.0,450,13.1
2007,74,8,1.0,0.6,4.0,1.2,11.0,2.0,440,13.2
2008,73,8,0.8,0.6,4.5,1.5,11.2,1.9,430,13.4
2009,72,8,0.8,0.5,5.0,1.8,11.2,1.9,420,13.3
2010,71,7,0.6,0.5,5.5,2.0,11.2,1.8,410,13.5
2011,70,7,0.6,0.4,6.0,2.1,11.2,1.8,405,13.6
2012,70,7,0.5,0.4,6.3,2.2,11.2,1.8,400,13.7
2013,69,7,0.4,0.4,6.5,2.3,11.3,1.8,397,13.8
2014,68,7,0.4,0.4,6.8,2.4,11.5,0.8,395,13.9
2015,68,7,0.3,0.4,7.0,2.5,11.6,0.8,394,14.0
2016,67,7,0.3,0.4,7.2,2.6,12.0,0.8,393,14.0
2017,67,7,0.3,0.4,7.4,2.6,12.5,0.8,392,14.0
2018,66,7,0.3,0.4,7.5,2.6,13.0,0.8,391,14.1
2019,67,7,0.3,0.4,7.6,2.6,13.0,0.8,390,14.1
2020,67,7,0.3,0.4,7.6,2.6,13.0,0.8,396,14.1
